"X","Y","Z"
1,0.281801653767389,0.000599388354711243
1,0.283217326809162,0.000789642059758038
1,0.284632999850936,0.00102938485257213
1,0.286048672892709,0.00132824619732163
1,0.287464345934483,0.00169695438258103
1,0.288880018976256,0.00216324641534335
1,0.29029569201803,0.00273478158120769
1,0.291711365059803,0.0034221511617826
1,0.293127038101577,0.00423984337601892
1,0.294542711143351,0.00520227497362076
1,0.295958384185124,0.00632340737049436
1,0.297374057226898,0.00761632158234233
1,0.298789730268671,0.00912428380686967
1,0.300205403310444,0.0108348196163851
1,0.301621076352218,0.0127440045990368
1,0.303036749393992,0.0148509749824869
1,0.304452422435765,0.0171502037268709
1,0.305868095477539,0.0196310633178439
1,0.307283768519312,0.0222774477024071
1,0.308699441561086,0.0250836868875042
1,0.310115114602859,0.0279912963876458
1,0.311530787644633,0.0309564616525138
1,0.312946460686406,0.0339354267542904
1,0.31436213372818,0.03688044917801
1,0.315777806769953,0.0397406766933241
1,0.317193479811727,0.0424631372316419
1,0.3186091528535,0.044948490988949
1,0.320024825895274,0.0471582781955655
1,0.321440498937047,0.0490520018591967
1,0.322856171978821,0.0505883221540663
1,0.324271845020594,0.0517324522855224
1,0.325687518062368,0.0524571302667724
1,0.327103191104141,0.0527434675555339
1,0.328518864145915,0.0525052561930428
1,0.329934537187688,0.0518152559383843
1,0.331350210229462,0.0507039643571266
1,0.332765883271235,0.0491981904834447
1,0.334181556313009,0.0473323023900909
1,0.335597229354782,0.0451472493857476
1,0.337012902396556,0.0426894664269663
1,0.338428575438329,0.0399842041265031
1,0.339844248480103,0.0371323960524343
1,0.341259921521876,0.0341920241929577
1,0.34267559456365,0.0312141196348865
1,0.344091267605423,0.0282466298256399
1,0.345506940647197,0.0253335477524192
1,0.34692261368897,0.0225141570346228
1,0.348338286730744,0.0198521460639327
1,0.349753959772517,0.0173569812816552
1,0.351169632814291,0.0150425504725767
1,0.352585305856064,0.0129197884235179
1,0.354000978897838,0.0109945147307922
1,0.355416651939611,0.00926787348986488
1,0.356832324981385,0.00773682854489374
1,0.358247998023158,0.00642682157384598
1,0.359663671064932,0.00529237731031084
1,0.361079344106705,0.0043176354269396
1,0.362495017148479,0.00348866657356948
1,0.363910690190252,0.00279107407137275
1,0.365326363232026,0.00221037557721508
1,0.366742036273799,0.00173234285194665
1,0.368157709315573,0.00135672622019069
1,0.369573382357346,0.00105271608171457
1,0.37098905539912,0.000808556320599858
1,0.372404728440893,0.000614552501571995
1,0.373820401482667,0.000462101834708118
1,0.37523607452444,0.000343666898949371
1,0.376651747566214,0.00025273268367056
1,0.378067420607987,0.00018678139434234
1,0.379483093649761,0.000136610098343398
1,0.380898766691534,9.87925718352939e-05
1,0.382314439733308,7.06233284922314e-05
1,0.383730112775081,4.98953602456761e-05
1,0.385145785816855,3.4832134217111e-05
1,0.386561458858628,2.40237330331928e-05
1,0.387977131900402,1.67710116347579e-05
1,0.389392804942175,1.15662139031546e-05
1,0.390808477983949,7.87582050094208e-06
1,0.392224151025722,5.29443890122399e-06
1,0.393639824067496,3.51337169780922e-06
1,0.395055497109269,2.30133538396275e-06
1,0.396471170151043,1.48808517873337e-06
1,0.397886843192816,9.82222718877143e-07
1,0.39930251623459,6.3894778847495e-07
1,0.400718189276363,4.09679794922899e-07
1,0.402133862318137,2.58944791474126e-07
1,0.40354953535991,1.61374705592637e-07
1,0.404965208401684,9.91915869234573e-08
1,0.406380881443457,6.02455312300905e-08
1,0.407796554485231,3.778122952935e-08
1,0.409212227527004,2.34933699051009e-08
1,0.410627900568778,1.47245784229308e-08
1,0.412043573610551,9.69318705173243e-09
1,0.413459246652325,7.29064728740748e-09
1,0.414874919694098,6.92885878603217e-09
1,0.416290592735872,8.45760313235418e-09
1,0.417706265777645,1.27348046549019e-08
1,0.419121938819419,2.04989244910348e-08
1,0.420537611861192,3.35647251570687e-08
1,0.421953284902966,5.47603902293498e-08
1,0.423368957944739,8.83291635667801e-08
1,0.424784630986513,1.40448783183654e-07
1,0.426200304028286,2.20446288299583e-07
1,0.42761597707006,3.54454086749997e-07
1,0.429031650111833,5.62236261443339e-07
1,0.430447323153607,8.79722560659672e-07
1,0.43186299619538,1.35775056521124e-06
1,0.433278669237154,2.06694742244502e-06
1,0.434694342278927,3.10363030152121e-06
1,0.436110015320701,4.60848312117109e-06
1,0.437525688362474,6.94612388818501e-06
1,0.438941361404248,1.03378369126344e-05
1,0.440357034446021,1.51935681870888e-05
1,0.441772707487795,2.20538492283814e-05
1,0.443188380529568,3.16204744924147e-05
