Web Search interest: etf; mutual fund
Worldwide; 2004 - present

Interest over time
Week,etf,mutual fund
2007-01-07 - 2007-01-13,52,64
2007-01-14 - 2007-01-20,53,70
2007-01-21 - 2007-01-27,53,66
2007-01-28 - 2007-02-03,52,66
2007-02-04 - 2007-02-10,48,72
2007-02-11 - 2007-02-17,46,67
2007-02-18 - 2007-02-24,47,72
2007-02-25 - 2007-03-03,50,68
2007-03-04 - 2007-03-10,47,64
2007-03-11 - 2007-03-17,38,52
2007-03-18 - 2007-03-24,42,58
2007-03-25 - 2007-03-31,38,52
2007-04-01 - 2007-04-07,40,58
2007-04-08 - 2007-04-14,43,62
2007-04-15 - 2007-04-21,48,56
2007-04-22 - 2007-04-28,45,59
2007-04-29 - 2007-05-05,46,61
2007-05-06 - 2007-05-12,46,54
2007-05-13 - 2007-05-19,47,52
2007-05-20 - 2007-05-26,47,53
2007-05-27 - 2007-06-02,44,56
2007-06-03 - 2007-06-09,49,59
2007-06-10 - 2007-06-16,52,53
2007-06-17 - 2007-06-23,56,50
2007-06-24 - 2007-06-30,49,54
2007-07-01 - 2007-07-07,50,57
2007-07-08 - 2007-07-14,53,64
2007-07-15 - 2007-07-21,51,63
2007-07-22 - 2007-07-28,53,60
2007-07-29 - 2007-08-04,50,60
2007-08-05 - 2007-08-11,52,62
2007-08-12 - 2007-08-18,52,58
2007-08-19 - 2007-08-25,53,53
2007-08-26 - 2007-09-01,49,50
2007-09-02 - 2007-09-08,42,51
2007-09-09 - 2007-09-15,45,49
2007-09-16 - 2007-09-22,56,60
2007-09-23 - 2007-09-29,56,61
2007-09-30 - 2007-10-06,53,66
2007-10-07 - 2007-10-13,57,70
2007-10-14 - 2007-10-20,64,63
2007-10-21 - 2007-10-27,64,61
2007-10-28 - 2007-11-03,68,70
2007-11-04 - 2007-11-10,68,52
2007-11-11 - 2007-11-17,60,60
2007-11-18 - 2007-11-24,56,65
2007-11-25 - 2007-12-01,55,68
2007-12-02 - 2007-12-08,58,75
2007-12-09 - 2007-12-15,50,71
2007-12-16 - 2007-12-22,51,71
2007-12-23 - 2007-12-29,56,74
2007-12-30 - 2008-01-05,70,96
2008-01-06 - 2008-01-12,70,87
2008-01-13 - 2008-01-19,73,84
2008-01-20 - 2008-01-26,73,89
2008-01-27 - 2008-02-02,64,77
2008-02-03 - 2008-02-09,65,71
2008-02-10 - 2008-02-16,60,65
2008-02-17 - 2008-02-23,61,65
2008-02-24 - 2008-03-01,70,66
2008-03-02 - 2008-03-08,71,60
2008-03-09 - 2008-03-15,66,65
2008-03-16 - 2008-03-22,70,60
2008-03-23 - 2008-03-29,60,59
2008-03-30 - 2008-04-05,57,57
2008-04-06 - 2008-04-12,59,56
2008-04-13 - 2008-04-19,60,52
2008-04-20 - 2008-04-26,63,54
2008-04-27 - 2008-05-03,58,57
2008-05-04 - 2008-05-10,58,56
2008-05-11 - 2008-05-17,60,51
2008-05-18 - 2008-05-24,67,46
2008-05-25 - 2008-05-31,54,43
2008-06-01 - 2008-06-07,55,44
2008-06-08 - 2008-06-14,56,46
2008-06-15 - 2008-06-21,55,46
2008-06-22 - 2008-06-28,65,46
2008-06-29 - 2008-07-05,62,49
2008-07-06 - 2008-07-12,61,48
2008-07-13 - 2008-07-19,64,52
2008-07-20 - 2008-07-26,60,51
2008-07-27 - 2008-08-02,55,44
2008-08-03 - 2008-08-09,53,48
2008-08-10 - 2008-08-16,49,44
2008-08-17 - 2008-08-23,50,42
2008-08-24 - 2008-08-30,42,39
2008-08-31 - 2008-09-06,44,36
2008-09-07 - 2008-09-13,49,41
2008-09-14 - 2008-09-20,79,54
2008-09-21 - 2008-09-27,64,51
2008-09-28 - 2008-10-04,64,51
2008-10-05 - 2008-10-11,89,60
2008-10-12 - 2008-10-18,85,55
2008-10-19 - 2008-10-25,80,42
2008-10-26 - 2008-11-01,72,38
2008-11-02 - 2008-11-08,69,38
2008-11-09 - 2008-11-15,63,38
2008-11-16 - 2008-11-22,70,37
2008-11-23 - 2008-11-29,63,31
2008-11-30 - 2008-12-06,70,33
2008-12-07 - 2008-12-13,77,33
2008-12-14 - 2008-12-20,75,35
2008-12-21 - 2008-12-27,64,30
2008-12-28 - 2009-01-03,74,34
2009-01-04 - 2009-01-10,70,38
2009-01-11 - 2009-01-17,69,35
2009-01-18 - 2009-01-24,61,32
2009-01-25 - 2009-01-31,58,34
2009-02-01 - 2009-02-07,63,36
2009-02-08 - 2009-02-14,67,34
2009-02-15 - 2009-02-21,69,32
2009-02-22 - 2009-02-28,70,33
2009-03-01 - 2009-03-07,69,34
2009-03-08 - 2009-03-14,68,33
2009-03-15 - 2009-03-21,70,35
2009-03-22 - 2009-03-28,73,38
