Web Search interest: etf; mutual fund
Worldwide; 2004 - present

Interest over time
Week,etf,mutual fund
Houston (United States),21

Top cities for mutual fund
City,mutual fund
Mumbai (India),100
Surat (India),84
Gurgaon (India),73
New Delhi (India),66
New Okhla Industrial Development Area (India),62
Bhubaneswar (India),57
Bangalore (India),56
Kolkata (India),54
Chennai (India),53
Ahmedabad (India),46
Howrah (India),39
Hyderabad (India),39
Pune (India),36
Lucknow (India),33
Chandigarh (India),26



Top searches for etf
gold etf,100
etf funds,65
vanguard,65
ishares etf,60
vanguard etf,60
ishares,60
short etf,55
bond etf,45
best etf,45
etfs,45
oil etf,40
dividend etf,35
etf list,30
lyxor etf,30
what is etf,30
etf india,30
lyxor,30
silver etf,25
etf china,20
spdr etf,20
spdr,20
etf canada,20
s&p 500 etf,20
energy etf,20
euro etf,20
dow etf,15
eft,15
leveraged etf,15
canadian etf,15
dollar etf,15
inverse etf,15
etf securities,15
commodity etf,15
financial etf,15
emerging markets etf,15
morningstar,15
etf natural gas,15
reit etf,15
etf 基金,15
etf investing,15
3x etf,15
etf dax,15
currency etf,10
europe etf,10
small cap etf,10
high yield etf,10
nasdaq etf,10
bmo etf,10
gold etf india,10
etf 2013,10


Top searches for mutual fund
mutual funds,100
reliance,80
reliance mutual fund,80
hdfc mutual fund,70
hdfc,65
mutual fund india,60
sbi mutual fund,55
nav,40
icici mutual fund,40
nav mutual fund,40
icici,40
best mutual fund,30
uti,30
uti mutual fund,30
birla mutual fund,25
mutual fund investment,25
icici prudential,20
fidelity mutual fund,15
public mutual fund,15
public mutual,15
franklin mutual fund,15
sundaram mutual fund,15
mutual funds india,15
mutual fund performance,15
birla sunlife,15
tata mutual fund,15
best mutual funds,15
vanguard mutual fund,10
etf,10
kotak mutual fund,10
mutual fund companies,10
lic mutual fund,10
axis mutual fund,10
sip mutual fund,10
mutual fund calculator,10
birla sun life,10
franklin templeton,10
gold mutual fund,10
dsp mutual fund,10
mutual fund company,10
idfc,10
idfc mutual fund,10
mutual fund store,10
mutual fund definition,5
mutual fund prices,5
principal mutual fund,5
mutual fund investing,5
morningstar,5
old mutual,5
fidelity mutual funds,5



Rising searches for etf
lyxor etf,Breakout
short etf,Breakout
dividend etf,+400%
vanguard,+400%
best etf,+350%
vanguard etf,+350%
oil etf,+300%
what is etf,+190%
etf india,+140%
etfs,+130%


Rising searches for mutual fund
sbi mutual fund,+950%
reliance,+900%
reliance mutual fund,+850%
icici,+500%
icici mutual fund,+500%
hdfc mutual fund,+450%
hdfc,+400%
nav,+400%
nav mutual fund,+400%
uti mutual fund,+300%



